     19218:	symbol=_res;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=stderr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=error_one_per_line;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=error_one_per_line;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__malloc_initialize_hook;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__malloc_initialize_hook;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__malloc_initialize_hook;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__morecore;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__morecore;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__morecore;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__key_encryptsession_pk_LOCAL;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__progname_full;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__progname_full;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__ctype32_tolower;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__ctype32_tolower;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_environ;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_environ;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_environ;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_rtld_global;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_rtld_global;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=_rtld_global;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=__progname;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__progname;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=argp_err_exit_status;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=argp_err_exit_status;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=mallwatch;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=mallwatch;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=mallwatch;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__rcmd_errstr;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=svcauthdes_stats;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=svcauthdes_stats;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=svcauthdes_stats;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__libc_enable_secure;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     19218:	symbol=_res_hconf;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=_res_hconf;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=malloc;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=malloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     19218:	symbol=getdate_err;  lookup in file=./test-dlfcn-now [0]
     19218:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libdl.so.2 [0]
     19218:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
